,data_to_text,grammar_error_correction,title_generation,keyword_tagging,overlap_extraction,question_rewriting,eval_rougeL
english_repeat_first_sentences,41.9396,85.5172,36.8606,63.3605,37.0482,65.9442,54.4132
english_repeat_last_sentences,43.5134,86.2082,37.505,63.8521,34.8048,58.6742,53.2336
english,43.2857,85.71206666666667,37.396433333333334,64.76089999999999,32.65023333333334,68.0439,54.792399999999994
english_stopword,43.80783333333333,85.1793,37.1901,63.64886666666666,34.205600000000004,67.96983333333333,53.79506666666666
english_delete_5,42.22293333333334,84.0712,37.20393333333333,64.1585,37.3691,67.38669999999999,53.67066666666667
english_delete_10,42.17756666666667,85.04323333333333,36.8479,63.9975,34.42776666666666,67.5091,53.58193333333333
english_insert_5,41.84806666666666,85.32353333333333,37.22156666666667,61.08793333333333,38.458800000000004,67.52896666666668,54.0058
english_insert_10,42.349266666666665,86.62156666666665,37.04216666666667,65.84053333333334,36.71163333333333,67.25706666666667,53.76606666666667
english_replace_5,42.709666666666664,85.10973333333334,37.07723333333333,63.5138,35.0183,67.7593,54.03563333333333
english_replace_10,42.458133333333336,84.02376666666667,36.88276666666667,65.63343333333333,36.034400000000005,68.23326666666667,53.60103333333333
english_repeat_sentences,42.92776666666666,85.9473,37.37846666666666,64.8249,36.78953333333333,67.29863333333333,54.375699999999995
english_shuffle_sentences,41.87063333333334,86.40893333333334,37.083533333333335,64.57256666666666,38.219433333333335,67.58056666666666,54.2409
