,answerability_classification,cause_effect_classification,coreference_resolution,dialogue_act_recognition,word_analogy,textual_entailment,eval_exact_match
english,63.2308,49.5714,49.1429,55.8571,49.625,46.0,36.8755
english_delete_0.1,60.6923,46.0,45.6429,49.1429,51.75,42.125,34.6571
english_delete_5,61.8462,48.1429,47.6429,54.8571,49.875,46.75,36.8501
english_delete_10,61.5385,50.1429,49.6429,48.2857,50.625,46.0417,36.4945
english_stopword,61.1538,49.0,50.0,49.2857,48.625,44.8333,36.105
english_insert_5,63.6154,47.5714,51.3571,56.8571,51.75,44.5417,36.9094
english_insert_10,61.0,49.2857,49.2143,58.4286,50.125,44.4583,36.4606
english_repeat_first,61.5385,48.5714,48.5,54.8571,50.0,46.0833,36.63
english_repeat_last,60.0,51.4286,47.7857,48.2857,49.375,50.1667,36.5961
english_repeat_sentences,63.3077,50.5714,49.2857,54.0,51.625,47.75,37.3158
english_replace,63.5385,50.8571,47.7143,53.0,50.25,45.7083,36.5368
english_shuffle_sentences,62.1538,49.4286,48.8571,54.2857,49.625,45.8333,36.6892
