,data_to_text,grammar_error_correction,title_generation,keyword_tagging,overlap_extraction,question_rewriting,eval_rougeL
english,41.9879,87.0718,36.0777,65.3138,39.0308,67.7431,54.3962
english_repeat_first,42.5617,87.2667,37.0157,69.3283,37.126,67.4935,54.2651
english_repeat_last,42.3212,86.5468,36.2158,62.1073,37.4669,59.8115,52.7359
english_stopword,44.2973,89.1589,36.9102,68.4923,38.5593,67.5672,54.0843
english_delete_5,605.114700529944,605.114700529944,605.114700529944,605.114700529944,605.114700529944,605.114700529944,605.114700529944
english_delete_10,605.1032704564617,605.1032704564617,605.1032704564617,605.1032704564617,605.1032704564617,605.1032704564617,605.1032704564617
english_insert_5,605.5722156871991,605.5722156871991,605.5722156871991,605.5722156871991,605.5722156871991,605.5722156871991,605.5722156871991
english_insert_10,605.8045229393689,605.8045229393689,605.8045229393689,605.8045229393689,605.8045229393689,605.8045229393689,605.8045229393689
english_replace_5,605.7864180762027,605.7864180762027,605.7864180762027,605.7864180762027,605.7864180762027,605.7864180762027,605.7864180762027
english_replace_10,605.8429846500154,605.8429846500154,605.8429846500154,605.8429846500154,605.8429846500154,605.8429846500154,605.8429846500154
english_repeat_sentences,606.2744819701632,606.2744819701632,606.2744819701632,606.2744819701632,606.2744819701632,606.2744819701632,606.2744819701632
english_shuffle_sentences,605.194403689907,605.194403689907,605.194403689907,605.194403689907,605.194403689907,605.194403689907,605.194403689907
