,answerability_classification,cause_effect_classification,coreference_resolution,dialogue_act_recognition,word_analogy,textual_entailment,eval_exact_match
english_repeat_first_sentences,61.3846,49.4286,48.6429,56.2857,52.375,47.4167,36.5368
english_repeat_last_sentences,64.7692,48.0,47.3571,48.8571,51.0,48.625,36.6469
english,63.56413333333334,48.19049999999999,48.0952,56.95236666666667,51.75,46.61113333333333,36.91223333333333
english_stopword,63.20513333333333,48.95236666666667,49.14286666666666,49.85716666666667,50.5,44.5139,36.0542
english_delete_5,60.69233333333333,49.14283333333333,47.238099999999996,53.09523333333333,52.791666666666664,44.66663333333333,35.980799999999995
english_delete_10,61.1282,50.666666666666664,49.45236666666667,52.90473333333333,50.791666666666664,44.02779999999999,36.031600000000005
english_insert_5,60.8205,48.523833333333336,49.499966666666666,55.2857,51.0,45.65276666666667,36.288466666666665
english_insert_10,60.43586666666666,48.714266666666674,47.523833333333336,56.571433333333324,52.5,44.555566666666664,36.1699
english_replace_5,61.97436666666666,48.33336666666667,48.2619,54.380966666666666,50.041666666666664,45.041666666666664,36.037266666666675
english_replace_10,60.307700000000004,49.23806666666667,47.73806666666667,50.0,51.583333333333336,43.875,35.65903333333333
english_repeat_sentences,61.38463333333334,48.04760000000001,48.380966666666666,53.7143,51.083333333333336,48.541666666666664,36.785199999999996
english_shuffle_sentences,62.23076666666666,49.571400000000004,48.571400000000004,54.380966666666666,50.125,45.194433333333336,36.37033333333333
